Date,Year,Month,Day,Average Temperature,Average Ozone,Average AOD,Average Dew Point,Average Relative Humidity,Average Pressure,Average Precipitable Water,Max Temperature,Min Temperature,Total GHI,Total DHI,Total DNI,Total Clearsky GHI,Total Clearsky DHI,Total Clearsky DNI,Daylight Weather,time_idx,RMM2,MJO Amplitude,avg_temp_by_month,avg_humidity_by_month,weather
2-12-2000,2000,2,12,0.4505494505494503,0.3396226415094341,0.14210526315789473,0.35537190082644643,0.3410256410256409,0.7029702970297009,0.217391304347826,0.4375,0.39784946236559127,0.7068593888677571,803.0,8980.0,6084.0,803.0,8980.0,Clear,42.0,0.27041,0.36184,23.0,71.7,Clear
2-13-2000,2000,2,13,0.39560439560439553,0.35220125786163536,0.10000000000000002,0.39669421487603307,0.4615384615384617,0.7079207920792072,0.2608695652173913,0.4166666666666665,0.29032258064516125,0.7087612526943071,774.0,9046.0,6099.0,774.0,9046.0,Clear,43.0,0.13152,0.28202,22.5,76.4,Clear
2-14-2000,2000,2,14,0.4065934065934065,0.35220125786163536,0.1578947368421053,0.47107438016528924,0.5435897435897432,0.7277227722772253,0.41304347826086957,0.3958333333333335,0.3655913978494627,0.4265246608342843,1619.0,4231.0,5998.0,804.0,8761.0,Clear,44.0,-0.48802,0.6591,22.6,79.6,Clear
2-15-2000,2000,2,15,0.43956043956043933,0.37106918238993725,0.13157894736842107,0.4793388429752068,0.5333333333333334,0.7128712871287135,0.43478260869565205,0.46875,0.3655913978494627,0.6409281095473565,1452.0,6974.0,6065.0,753.0,8896.0,Clear,45.0,-0.83177,0.96603,22.9,79.2,Clear
2-16-2000,2000,2,16,0.4285714285714284,0.4528301886792452,0.2210526315789474,0.5041322314049588,0.5717948717948718,0.7475247524752504,0.41304347826086957,0.4270833333333335,0.40860215053763427,0.4449093444909345,2701.0,2339.0,6064.0,865.0,8606.0,Partly Cloudy,46.0,-0.98627,1.01103,22.8,80.7,Partly Cloudy
2-17-2000,2000,2,17,0.4505494505494503,0.46540880503144644,0.2368421052631579,0.5041322314049588,0.5487179487179483,0.8168316831683242,0.3043478260869565,0.45833333333333304,0.4623655913978493,0.7126917712691772,965.0,8597.0,6130.0,965.0,8597.0,Clear,47.0,-1.2019,1.20622,23.0,79.8,Clear
2-18-2000,2000,2,18,0.3846153846153846,0.4025157232704404,0.09473684210526316,0.5123966942148761,0.6410256410256412,0.8910891089108972,0.2391304347826086,0.3645833333333335,0.3655913978494627,0.6329402814758464,1723.0,6508.0,6271.0,756.0,9174.0,Clear,48.0,-1.42448,1.4454,22.4,83.4,Clear
2-19-2000,2000,2,19,0.3296703296703294,0.4025157232704404,0.0894736842105263,0.4214876033057853,0.5666666666666667,0.905940594059409,0.08695652173913038,0.32291666666666696,0.30107526881720426,0.7541524026879676,758.0,9459.0,6457.0,758.0,9459.0,Clear,49.0,-0.93517,1.15458,21.9,80.5,Clear
2-20-2000,2000,2,20,0.3296703296703294,0.4150943396226412,0.1578947368421053,0.3305785123966942,0.42564102564102546,0.8811881188118846,0.06521739130434784,0.32291666666666696,0.25806451612903225,0.7099023709902371,1250.0,8132.0,6470.0,843.0,9221.0,Clear,50.0,-0.69479,1.39493,21.9,75.0,Clear
2-21-2000,2000,2,21,0.35164835164835173,0.42767295597484245,0.10526315789473685,0.4462809917355375,0.5717948717948718,0.8415841584158485,0.19565217391304346,0.28125000000000044,0.34408602150537626,0.6104982883225561,2414.0,4411.0,6409.0,728.0,9343.0,Fog,51.0,-0.42502,1.47895,22.1,80.7,Fog
2-22-2000,2000,2,22,0.4065934065934065,0.4591194968553458,0.20000000000000007,0.38842975206611574,0.4307692307692308,0.8861386138613909,0.15217391304347822,0.3645833333333335,0.40860215053763427,0.34373018891847346,2493.0,1219.0,6489.0,866.0,9111.0,Partly Cloudy,52.0,-0.39058,1.58266,22.6,75.2,Partly Cloudy
2-23-2000,2000,2,23,0.41758241758241743,0.5157232704402515,0.18947368421052635,0.27272727272727293,0.2487179487179485,0.9009900990099027,0.10869565217391303,0.3958333333333335,0.4193548387096777,0.3649042728540637,1667.0,2117.0,6562.0,824.0,9276.0,Partly Cloudy,53.0,-0.37747,1.6359,22.7,68.1,Partly Cloudy
2-24-2000,2000,2,24,0.3626373626373627,0.5094339622641508,0.21052631578947373,0.2892561983471076,0.32307692307692304,0.8861386138613909,0.10869565217391303,0.3333333333333335,0.34408602150537626,0.41422594142259417,3164.0,1177.0,6538.0,934.0,9024.0,Partly Cloudy,54.0,-0.41934,1.50379,22.2,71.0,Partly Cloudy
2-25-2000,2000,2,25,0.39560439560439553,0.49056603773584895,0.18947368421052635,0.39669421487603307,0.45641025641025634,0.8663366336633729,0.217391304347826,0.3541666666666665,0.38709677419354827,0.6205147711423862,1782.0,5361.0,6509.0,853.0,9044.0,Clear,55.0,-0.3448,1.40124,22.5,76.2,Clear
2-26-2000,2000,2,26,0.41758241758241743,0.5157232704402515,0.16842105263157897,0.5041322314049588,0.5794871794871794,0.8465346534653477,0.2391304347826086,0.3958333333333335,0.39784946236559127,0.41118295930011417,3088.0,1667.0,6547.0,831.0,9140.0,Partly Cloudy,56.0,-0.57251,1.44261,22.7,81.0,Partly Cloudy
2-27-2000,2000,2,27,0.4285714285714284,0.4842767295597483,0.1473684210526316,0.47107438016528924,0.5282051282051279,0.8366336633663423,0.17391304347826086,0.3958333333333335,0.4193548387096777,0.5701787751996957,1893.0,5213.0,6643.0,821.0,9261.0,Clear,57.0,-0.49118,0.9124,22.8,79.0,Clear
2-28-2000,2000,2,28,0.4505494505494503,0.4779874213836477,0.1473684210526316,0.3388429752066118,0.3128205128205126,0.8415841584158485,0.10869565217391303,0.4375,0.4193548387096777,0.7795105870419679,906.0,8789.0,6694.0,888.0,9205.0,Clear,58.0,-0.4233,0.72191,23.0,70.6,Clear
3-1-2000,2000,3,1,0.4285714285714284,0.4591194968553458,0.1473684210526316,0.4049586776859506,0.428205128205128,0.8168316831683242,0.17391304347826086,0.3958333333333335,0.40860215053763427,0.5566121465703056,2216.0,4041.0,6726.0,863.0,9301.0,Clear,59.0,-0.5515,1.32552,22.8,75.1,Clear
3-2-2000,2000,3,2,0.4285714285714284,0.44654088050314455,0.18947368421052635,0.4049586776859506,0.42307692307692313,0.8613861386138666,0.17391304347826086,0.4479166666666665,0.37634408602150526,0.7547863572968175,1248.0,7994.0,6721.0,963.0,9031.0,Clear,60.0,-0.53296,1.23584,22.8,74.9,Clear
3-3-2000,2000,3,3,0.4615384615384617,0.4213836477987418,0.16842105263157897,0.4132231404958677,0.41025641025641035,0.8267326732673297,0.15217391304347822,0.4791666666666665,0.37634408602150526,0.797641688855078,1077.0,9063.0,6847.0,874.0,9362.0,Clear,61.0,-0.35013,1.1591,23.1,74.4,Clear
3-4-2000,2000,3,4,0.4835164835164836,0.3773584905660379,0.1631578947368421,0.38842975206611574,0.3538461538461539,0.7722772277227747,0.19565217391304346,0.4895833333333335,0.37634408602150526,0.5586408013186256,2073.0,4646.0,6847.0,841.0,9418.0,Clear,62.0,-0.06306,1.31118,23.3,72.2,Clear
3-5-2000,2000,3,5,0.4725274725274722,0.35220125786163536,0.1631578947368421,0.39669421487603307,0.36923076923076903,0.8069306930693116,0.17391304347826086,0.4895833333333335,0.4193548387096777,0.6548751109420565,2100.0,5546.0,6911.0,848.0,9538.0,Clear,63.0,0.03705,0.99564,23.2,72.8,Clear
3-6-2000,2000,3,6,0.4285714285714284,0.35220125786163536,0.12631578947368421,0.3388429752066118,0.33846153846153815,0.8564356435643603,0.13043478260869557,0.3958333333333335,0.39784946236559127,0.7017877519969571,1835.0,6564.0,6996.0,836.0,9646.0,Clear,64.0,0.41816,0.78305,22.8,71.6,Clear
3-7-2000,2000,3,7,0.39560439560439553,0.4213836477987418,0.10526315789473685,0.31404958677685957,0.3307692307692307,0.831683168316836,0.10869565217391303,0.375,0.37634408602150526,0.6694560669456067,1515.0,5349.0,7032.0,844.0,9705.0,Clear,65.0,0.61125,0.84022,22.5,71.3,Clear
3-8-2000,2000,3,8,0.43956043956043933,0.47169811320754707,0.13157894736842107,0.27272727272727293,0.23589743589743573,0.757425742574263,0.15217391304347822,0.4479166666666665,0.37634408602150526,0.4156206415620642,2528.0,2395.0,7025.0,877.0,9575.0,Fog,66.0,1.16408,1.26603,22.9,67.6,Fog
3-9-2000,2000,3,9,0.3846153846153846,0.5157232704402515,0.07368421052631581,0.3471074380165289,0.3948717948717946,0.7079207920792072,0.217391304347826,0.40624999999999956,0.3118279569892477,0.44960060859642453,1669.0,4642.0,7010.0,775.0,9733.0,Clear,67.0,1.2237,1.32898,22.4,73.8,Clear
3-10-2000,2000,3,10,0.4285714285714284,0.4402515723270437,0.17894736842105263,0.3388429752066118,0.3487179487179486,0.722772277227719,0.36956521739130427,0.4791666666666665,0.32258064516129026,0.5555978191961456,2727.0,4309.0,6914.0,877.0,9247.0,Clear,68.0,0.83914,0.95098,22.8,72.0,Clear
3-11-2000,2000,3,11,0.4835164835164836,0.37106918238993725,0.5105263157894737,0.39669421487603307,0.35641025641025625,0.7970297029702991,0.43478260869565205,0.4895833333333335,0.40860215053763427,0.5670090021554457,1869.0,4591.0,6715.0,1343.0,8111.0,Clear,69.0,0.84607,0.93695,23.3,72.3,Clear
3-12-2000,2000,3,12,0.4285714285714284,0.39622641509433976,0.17894736842105263,0.49586776859504145,0.5692307692307688,0.7920792079207999,0.39130434782608686,0.4375,0.40860215053763427,0.7845822239127679,1280.0,8503.0,6967.0,900.0,9254.0,Clear,70.0,0.82756,0.88288,22.8,80.6,Clear
3-13-2000,2000,3,13,0.4505494505494503,0.49056603773584895,0.1842105263157895,0.4793388429752068,0.5179487179487177,0.7079207920792072,0.39130434782608686,0.46875,0.40860215053763427,0.7697476860656778,1577.0,7988.0,6989.0,881.0,9306.0,Clear,71.0,0.80238,0.84279,23.0,78.6,Clear
3-14-2000,2000,3,14,0.4945054945054941,0.4591194968553458,0.22631578947368425,0.4462809917355375,0.417948717948718,0.7277227722772253,0.32608695652173897,0.4791666666666665,0.4623655913978493,0.5744896665398758,2506.0,4196.0,7069.0,937.0,9282.0,Clear,72.0,0.65439,0.73089,23.4,74.7,Clear
3-15-2000,2000,3,15,0.4725274725274722,0.4402515723270437,0.16842105263157897,0.5123966942148761,0.5410256410256411,0.7821782178217873,0.2826086956521739,0.4791666666666665,0.44086021505376327,0.7858501331304679,1358.0,7475.0,7131.0,897.0,9439.0,Clear,73.0,0.51471,0.53591,23.2,79.5,Clear
3-16-2000,2000,3,16,0.5054945054945055,0.42767295597484245,0.17368421052631583,0.3719008264462811,0.3076923076923077,0.8613861386138666,0.17391304347826086,0.4895833333333335,0.4731182795698927,0.8455686572841385,1051.0,9117.0,7234.0,929.0,9541.0,Clear,74.0,0.54832,0.55025,23.5,70.4,Clear
3-17-2000,2000,3,17,0.4725274725274722,0.44654088050314455,0.2210526315789474,0.3801652892561984,0.34615384615384626,0.851485148514854,0.17391304347826086,0.4375,0.4731182795698927,0.7374160010143274,2291.0,6427.0,7262.0,965.0,9485.0,Clear,75.0,0.29373,0.39027,23.2,71.9,Clear
3-18-2000,2000,3,18,0.43956043956043933,0.5157232704402515,0.368421052631579,0.4049586776859506,0.41025641025641035,0.8564356435643603,0.217391304347826,0.4166666666666665,0.4516129032258063,0.4688728287054647,2995.0,1999.0,7168.0,1122.0,8951.0,Partly Cloudy,76.0,0.12074,0.12114,22.9,74.4,Partly Cloudy
